City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
327,santyoku,37.4406,129.1708,16.11,40,16,1.84,KR,1683521481
328,tucurui,-3.7661,-49.6725,24.33,90,82,1.05,BR,1683521481
329,la gi,10.6667,107.7833,31.26,68,100,7.43,VN,1683521481
330,fort bragg,35.139,-79.006,21.91,73,0,4.12,US,1683521481
331,wacheng,33.7833,114.5167,25.05,29,56,3.44,CN,1683521482
332,kertih,4.5141,103.4483,33.01,62,20,2.57,MY,1683521482
333,anse royale,-4.7333,55.5167,28.32,84,40,4.12,SC,1683521482
334,berezovyy,51.6667,135.7,18.44,24,25,3.48,RU,1683521482
335,floro,61.5996,5.0328,10.98,54,75,6.69,NO,1683521482
336,richards bay,-28.783,32.0377,19.22,92,98,1.97,ZA,1683521482
337,toba,34.4833,136.85,20.0,62,17,11.75,JP,1683521482
338,boende,-0.2167,20.8667,22.35,98,100,0.09,CD,1683521482
339,urengoy,65.9667,78.3667,2.6,98,100,10.8,RU,1683521483
340,boca suno,-0.7167,-77.1333,21.5,98,74,0.96,EC,1683521483
341,porto novo,6.4965,2.6036,26.9,82,54,1.99,BJ,1683521398
342,jember,-8.166,113.7032,31.99,59,87,2.27,ID,1683521483
343,old town,50.087,14.4202,7.47,86,0,2.57,CZ,1683521483
344,rodolfo sanchez taboada,31.7167,-116.5667,15.06,79,1,2.68,MX,1683521483
345,mrakovo,52.7161,56.6244,7.79,38,99,3.15,RU,1683521483
346,vila velha,-20.3297,-40.2925,21.64,96,40,1.03,BR,1683521483
347,ugoofaaru,5.6667,73.0,29.17,73,67,5.95,MV,1683521484
348,moapa valley,36.5805,-114.4703,22.67,19,2,2.74,US,1683521484
349,minas de marcona,-15.2119,-75.1103,15.63,87,84,4.43,PE,1683521465
350,alice springs,-23.7,133.8833,16.75,23,17,7.72,AU,1683521484
351,puerto aysen,-45.4,-72.7,3.5,96,70,1.32,CL,1683521291
352,kitimat,54.0524,-128.6534,10.21,68,100,1.3,CA,1683521484
353,lebu,-37.6167,-73.65,8.93,77,29,3.65,CL,1683521484
354,dombarovskiy,50.7587,59.5386,13.31,48,99,6.03,RU,1683521484
355,katsuren-haebaru,26.3369,127.8719,23.43,70,100,4.63,JP,1683521303
